SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC70218,29,0,237,30,474,1.7,1208,4.7
SSC70219,34,2300,1289,430,2917,1,2395,2.4
SSC70220,7,0,0,0,0,0,0,0
SSC70221,20,0,332,50,833,1.3,1812,5.2
SSC70222,29,0,631,10,483,0.5,612,2.7
SSC70223,23,0,252,25,725,2.2,1125,4.5
SSC70224,39,1560,466,82,955,0.9,945,2.3
SSC70225,53,0,849,0,900,1,1187,2
SSC70226,34,0,255,40,517,1.2,630,3.6
SSC70227,33,0,875,0,1833,0.6,1666,1
SSC70228,36,0,792,20,1812,1.2,900,2.8
SSC70229,26,0,248,70,654,1.6,1586,5.2
SSC70230,32,0,661,0,1625,1.5,1375,2.8
SSC70231,36,2167,1053,400,2302,1,1980,2.4
SSC70232,59,0,450,0,0,1.5,1312,1
SSC70233,20,0,237,15,724,2.1,1166,3.8
SSC70234,29,2500,1176,480,2645,0.9,2550,3
SSC70235,44,2167,954,290,2231,1.1,1562,2
SSC70236,51,1083,674,0,1437,1.2,1312,2.4
SSC70237,33,1842,915,350,2034,0.9,1730,2.6
SSC70238,25,0,238,25,493,2.2,954,4.3
SSC70239,27,0,269,75,630,1.6,963,4.3
SSC70240,22,0,1025,0,0,0,0,0
SSC70241,0,0,0,0,0,0,0,0
SSC70242,33,2000,814,275,1791,1.1,1625,2.7
SSC70243,46,758,619,0,1291,1,1208,2.7
SSC70244,29,2167,738,108,1774,1,1812,2.7
SSC70245,33,2167,1167,460,2484,0.9,2260,2.4
SSC70246,32,0,556,0,1312,0.8,1125,1.9
SSC70247,25,1196,624,0,900,1,1187,3.3
SSC70248,31,0,2050,0,1125,0,1125,2
SSC70249,27,0,278,0,483,0.6,466,2
SSC70250,28,0,259,70,575,1.8,599,4.7
SSC70251,33,1216,650,175,1592,1,1570,2.7
SSC70252,23,0,180,50,550,2.5,714,5.1
SSC70253,32,1600,1047,330,2132,1,1684,2.2
SSC70254,35,2064,1137,420,2720,0.8,2156,2
SSC70255,40,2300,698,150,2217,1,1329,2.3
SSC70256,46,0,1125,25,2749,0.9,2187,1.9
SSC70257,35,0,671,20,1625,1.1,1325,2.8
SSC70258,27,0,1340,250,2295,1,2236,3.3
SSC70259,36,0,899,0,2250,1,1999,2.6
SSC70260,26,0,332,50,825,1.6,1125,3.7
SSC70261,0,0,0,0,0,0,0,0
SSC70262,37,2167,943,400,2220,0.9,2012,2.7
SSC70263,35,0,612,0,1416,1,1416,2.6
SSC70264,8,0,0,0,0,0,0,0
SSC70265,56,0,687,0,0,0,0,2
SSC70266,40,1928,854,250,2178,1.3,1478,2.9
SSC70267,25,0,370,50,883,1.6,1478,4.8
SSC70268,0,0,0,0,0,0,0,0
SSC70269,44,2221,1194,280,2625,1,2274,2.4
SSC70270,0,0,0,0,0,0,0,0
SSC70271,40,1575,939,231,2250,1.3,2124,2.3
SSC70272,0,0,0,0,0,0,0,0
SSC70273,24,0,765,0,2062,0.9,1292,2
SSC70274,41,2420,1122,450,2589,1,2361,2.8
SSC70275,25,412,238,60,584,2,1096,5.3
SSC70276,48,1733,857,250,1924,1.1,1463,2.2
SSC70277,35,2121,809,400,1941,1,1955,3.1
SSC70278,0,0,0,0,0,0,0,0
SSC70279,28,0,265,30,725,1.1,725,3.3
SSC70280,37,2250,893,475,2416,0.9,2305,3
SSC70281,26,0,264,60,687,1.4,1194,4.5
SSC70282,30,0,260,20,612,1.3,700,2.9
SSC70283,33,2250,850,340,2374,1.1,2125,2.9
SSC70284,24,0,215,30,483,2.3,791,5.6
SSC70285,50,2167,1134,165,2374,1,1920,2.1
SSC70286,41,0,2490,0,0,0,0,0
SSC70287,25,0,397,70,1029,1.4,1771,4.7
SSC70288,34,0,268,70,739,1.1,974,4.9
SSC70289,17,0,235,50,725,2.5,1625,7.6
SSC70290,52,0,1023,300,1916,1.1,1362,1.6
SSC70291,0,0,0,0,0,0,0,0
