SSC_CODE_2016,R1,R2,R3,R4,R5,R6
SSC70256,3,5,8,0,0,0
SSC70257,17,20,26,7,0,0
SSC70258,0,0,141,30,9,0
SSC70259,0,3,5,0,0,0
SSC70260,0,8,29,0,0,0
SSC70261,0,0,0,0,0,0
SSC70262,61,120,430,123,23,8
SSC70263,0,5,15,7,0,0
SSC70264,0,0,0,0,0,0
SSC70265,0,0,0,0,0,0
SSC70266,14,12,18,5,0,0
SSC70267,3,26,46,20,0,0
SSC70268,0,0,0,0,0,0
SSC70269,9,7,15,14,6,3
SSC70270,0,0,0,0,0,0
SSC70271,0,0,3,5,0,0
SSC70272,0,0,0,0,0,0
SSC70273,3,5,12,3,3,0
SSC70274,66,73,189,150,51,17
SSC70275,11,110,146,33,3,0
SSC70276,33,57,58,18,3,0
SSC70277,13,120,309,124,22,16
SSC70278,0,0,0,0,0,0
SSC70279,3,0,24,0,0,0
SSC70280,26,35,248,153,50,15
SSC70281,0,20,35,15,4,0
SSC70282,3,5,16,4,0,0
SSC70283,0,6,3,3,4,0
SSC70284,5,9,27,28,0,0
SSC70285,19,13,15,13,0,4
SSC70286,0,0,0,0,0,0
SSC70287,0,5,42,3,0,0
SSC70288,0,8,10,0,0,0
SSC70289,0,0,10,3,0,0
SSC70290,43,19,5,4,0,0
SSC70291,0,0,0,0,0,0
SSC70292,57,171,584,191,21,6
SSC70293,3,109,181,43,3,3
SSC70294,0,23,559,131,13,0
SSC70295,26,75,158,82,3,0
SSC70296,8,7,18,4,0,0
SSC70297,0,5,26,7,0,0
SSC70298,4,3,0,0,0,0
SSC70299,3,29,80,8,0,0
SSC70300,0,7,25,0,0,0
SSC70301,12,23,71,22,3,0
SSC70302,305,73,20,19,0,0
SSC70303,0,0,161,171,8,0
SSC79494,0,0,0,0,0,0
SSC79797,0,0,0,0,0,0
