SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC70133,43,88,0,0,4,13,4,22,20,76,30,113,0,0,9,14,16,44,20,63,52,181,0,3,3,9,0,3,4,14,13,31,0,0,0,0,3,16,3,16,17,48,8,12,113,327
SSC70134,6,16,0,0,0,0,0,4,9,41,6,46,0,0,0,0,0,4,0,4,10,54,0,0,0,3,0,0,3,13,4,15,0,0,0,0,3,6,3,6,3,20,0,3,23,97
SSC70135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70136,93,177,0,4,4,21,3,22,79,308,88,355,4,11,3,10,3,14,7,26,99,385,0,5,0,0,0,5,22,55,20,69,0,0,0,7,9,19,11,25,34,91,0,3,220,654
SSC70137,13,28,3,17,4,34,3,29,18,78,29,161,0,3,0,3,0,7,7,19,34,178,0,0,0,3,4,21,7,27,15,49,0,3,0,0,7,19,10,22,19,68,3,5,70,283
SSC70138,146,288,0,14,23,96,7,39,120,467,153,620,11,27,11,41,33,108,57,181,211,802,0,9,4,13,3,17,33,97,42,140,4,8,11,15,26,65,39,87,86,227,9,21,450,1342
SSC70139,173,346,0,7,27,110,7,19,221,847,249,978,0,17,6,23,14,36,25,77,272,1057,0,0,3,8,4,18,36,95,44,118,0,0,4,4,11,29,13,29,54,152,7,13,507,1566
SSC70140,25,46,0,0,3,10,0,0,12,60,18,68,0,0,0,3,0,6,3,10,16,82,0,0,0,0,0,0,5,17,5,17,0,0,0,3,3,19,8,25,11,39,3,5,52,164
SSC70141,18,30,0,0,0,3,7,42,25,112,35,157,0,0,0,0,0,8,0,8,35,163,0,0,0,7,3,13,17,42,20,59,0,0,0,3,4,22,8,21,25,79,0,4,74,277
SSC70142,21,43,3,11,4,14,4,35,10,60,21,121,0,0,0,8,3,8,0,11,30,135,0,0,0,7,0,7,3,21,7,34,0,0,0,0,3,4,3,4,9,40,0,5,56,216
SSC70143,308,630,19,101,59,298,21,111,300,1196,398,1708,29,110,35,127,113,383,181,619,578,2330,4,15,26,89,19,76,91,285,138,467,13,36,25,55,79,183,118,266,255,730,25,51,1165,3739
SSC70144,119,232,0,0,11,38,0,3,71,270,81,311,3,8,7,17,11,40,26,74,100,384,0,9,4,14,9,34,26,89,35,142,0,3,3,5,7,17,11,25,48,164,4,7,280,786
SSC70145,213,409,3,27,32,162,14,74,219,831,277,1095,7,28,18,52,36,116,63,193,337,1294,5,21,11,31,5,25,69,211,88,286,4,7,5,16,27,52,36,73,121,360,12,21,678,2074
SSC70146,105,212,0,7,5,35,5,15,74,268,86,326,0,8,3,9,11,46,18,53,100,381,0,3,4,22,3,10,27,77,36,112,0,3,3,14,11,30,17,42,59,151,3,16,270,759
SSC70147,12,28,0,0,3,12,0,0,7,34,10,47,0,0,0,0,3,11,3,11,10,54,0,7,0,0,0,0,6,17,7,25,0,0,0,0,3,7,3,7,8,26,0,0,37,106
SSC70148,26,64,0,0,4,18,7,16,20,90,30,130,0,4,0,0,9,22,8,30,31,159,0,0,0,8,8,36,19,58,28,97,0,3,0,0,8,10,4,18,31,114,3,14,101,350
SSC70149,36,84,0,0,8,33,0,0,12,62,25,97,3,24,6,13,7,35,17,73,42,172,0,0,0,0,0,0,9,20,11,21,0,3,0,0,4,16,8,16,16,38,3,10,98,300
SSC70150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70151,8,9,0,0,0,7,0,10,9,44,13,62,0,0,0,0,0,6,0,6,10,66,0,0,0,0,0,6,3,17,8,26,0,3,0,0,0,3,3,9,7,34,0,0,22,111
SSC70152,32,69,3,16,7,20,16,81,40,193,60,307,0,0,0,0,0,3,0,3,64,314,0,0,0,3,3,13,24,84,26,99,0,0,0,0,7,11,7,11,30,106,3,3,129,499
SSC70153,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,3,3,3,3,3,8,0,0,17,30
SSC70154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70155,38,73,0,9,0,8,3,8,21,83,24,101,4,30,3,4,8,17,12,54,39,155,0,0,0,3,0,0,3,8,4,13,0,3,0,0,3,3,4,9,8,21,0,5,87,253
SSC70156,31,61,0,0,4,20,4,13,27,100,29,135,0,0,0,0,9,37,9,37,46,169,0,8,0,0,3,10,4,8,4,25,0,0,3,0,3,8,3,6,9,30,0,3,87,266
SSC70157,8,22,0,0,0,5,4,18,26,107,30,134,0,0,0,0,3,6,3,6,34,139,0,0,0,3,0,12,11,21,10,39,0,0,0,0,0,3,0,3,9,37,3,3,54,209
SSC70158,172,333,3,11,17,97,16,61,161,610,192,786,3,18,13,36,30,83,48,132,242,917,3,9,5,27,13,46,62,202,85,287,3,7,11,28,20,37,37,70,116,356,6,19,536,1622
SSC70159,460,876,3,8,28,110,6,48,230,856,273,1020,11,30,17,57,32,104,58,192,329,1211,0,0,0,3,0,5,21,52,27,63,0,3,10,30,24,44,41,79,63,141,15,27,861,2255
SSC70160,7,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15
SSC70161,439,869,11,71,39,199,25,117,314,1191,392,1572,30,132,52,156,122,390,207,672,600,2250,0,9,10,41,6,24,65,167,89,241,3,19,18,37,52,119,73,171,161,408,14,32,1214,3568
SSC70162,26,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,54
SSC70163,3,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,6,4,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,7,20
SSC70164,0,3,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,15
SSC70165,37,61,0,6,7,20,0,4,25,103,32,136,3,11,4,20,7,17,16,50,48,184,0,0,0,7,0,0,8,12,5,21,0,3,3,10,7,7,11,16,13,41,0,0,97,290
SSC70166,25,43,0,0,0,6,3,7,17,62,18,74,0,0,0,4,0,4,4,9,19,84,0,0,0,0,0,0,4,16,4,16,0,0,0,0,0,3,0,3,6,15,0,0,53,147
SSC70167,154,313,3,27,16,78,8,66,85,338,118,500,6,38,17,48,25,75,49,156,170,665,0,0,4,9,4,21,47,154,57,187,3,11,4,6,31,79,38,92,94,281,11,34,433,1294
SSC70168,184,347,4,42,50,228,16,64,256,1014,325,1349,12,67,23,83,24,78,61,226,382,1573,0,5,3,12,0,3,20,40,20,57,0,0,0,0,3,3,3,8,23,68,3,6,595,1994
SSC70169,229,457,3,27,37,182,18,74,164,678,220,954,14,66,28,91,59,179,102,335,323,1292,4,16,6,26,8,22,68,203,86,269,3,14,11,28,49,108,65,147,152,413,19,51,723,2207
SSC70170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC70171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70172,118,268,8,50,11,80,45,281,187,817,252,1228,3,14,0,4,21,81,22,99,277,1331,4,17,4,16,19,80,42,107,62,216,4,11,3,7,27,86,31,103,93,320,11,36,503,1946
SSC70173,10,15,0,0,0,0,3,9,7,22,8,29,0,0,0,0,0,9,0,9,10,38,0,0,0,0,0,0,4,9,4,9,0,0,0,0,3,4,3,4,3,14,3,4,22,64
SSC70174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70175,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
SSC70176,71,134,0,0,10,35,3,10,61,251,67,292,5,25,8,24,25,74,37,126,107,417,0,0,0,6,0,0,6,20,9,30,0,0,0,3,10,16,9,15,19,41,0,3,194,597
SSC70177,32,67,0,4,3,17,5,22,35,130,41,171,0,5,3,12,5,20,14,37,52,202,0,0,3,12,0,13,11,32,13,54,0,0,0,3,3,12,8,14,20,69,0,4,107,340
SSC70178,215,414,0,0,11,54,4,17,88,326,106,397,7,29,11,48,19,54,42,131,141,525,0,0,0,4,0,0,16,41,17,44,3,8,3,8,9,30,17,44,40,91,5,12,397,1047
SSC70179,40,95,0,0,0,0,3,19,16,61,19,77,0,0,0,3,0,5,3,11,25,91,0,0,0,0,0,0,8,12,8,12,0,0,0,0,3,3,3,3,4,15,3,8,78,205
SSC70180,29,59,0,0,0,0,3,11,9,28,8,45,0,0,0,0,3,11,3,11,16,56,0,0,0,0,0,11,3,9,3,22,0,0,0,0,0,0,0,0,3,22,0,8,48,149
SSC70181,65,128,4,20,7,38,5,14,57,249,75,322,6,23,9,22,16,52,26,98,106,422,0,0,0,4,0,7,10,22,11,33,0,4,3,4,8,17,10,23,18,51,3,7,189,609
SSC70182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70184,9,13,0,0,0,0,0,0,3,19,3,19,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,0,0,9,33
SSC70185,31,71,4,16,3,27,3,36,26,110,42,188,0,0,0,3,3,9,5,8,43,194,0,8,0,10,3,10,11,29,18,53,0,3,0,3,6,12,6,22,25,78,4,17,101,358
SSC70186,36,76,11,90,10,46,17,126,72,318,105,578,3,15,4,9,9,25,13,40,113,620,0,22,5,27,16,144,35,103,59,298,0,4,7,19,30,102,36,120,101,423,10,40,261,1157
SSC70187,221,450,3,21,21,109,5,36,172,612,204,776,11,38,12,41,40,127,62,206,268,980,0,5,5,15,5,26,42,109,53,158,3,10,10,19,42,80,51,108,107,265,14,34,612,1727
SSC70188,16,37,0,0,0,0,4,20,7,18,11,38,0,0,0,0,3,14,3,14,10,53,0,0,0,0,3,17,3,17,10,34,0,0,0,0,0,3,0,3,7,35,3,5,36,132
SSC70189,19,48,4,25,4,31,11,95,51,219,69,363,0,8,0,4,4,12,6,23,78,391,3,15,4,15,8,40,14,56,28,127,0,0,0,0,3,12,3,12,31,136,3,4,128,579
SSC70190,10,17,0,7,4,27,5,35,14,54,25,128,0,8,0,0,3,11,3,20,30,143,0,0,0,0,0,0,11,23,11,23,0,0,0,0,4,16,4,16,14,38,0,3,53,201
SSC70191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70192,149,293,15,82,32,153,8,37,127,498,185,767,13,44,15,55,38,118,60,211,244,979,3,13,3,13,3,13,45,108,54,140,3,19,6,14,34,82,50,113,98,250,10,20,502,1545
SSC70193,189,362,9,40,28,144,12,48,171,665,218,898,7,19,16,40,44,138,62,201,282,1099,8,20,28,105,14,51,114,346,158,518,13,30,13,27,47,104,70,157,223,684,15,36,714,2177
SSC70194,4,10,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17
SSC70195,61,107,0,5,10,37,0,3,42,160,49,209,3,11,0,5,3,6,5,19,62,227,0,0,0,0,0,0,3,11,3,11,0,0,4,3,3,5,4,11,8,16,0,0,126,352
SSC70196,10,31,0,0,0,3,5,34,11,38,15,71,0,6,0,0,0,0,0,6,13,79,0,0,0,0,3,23,0,4,4,26,0,0,0,0,4,8,4,8,9,33,0,0,36,146
SSC70197,5,10,0,0,0,0,0,0,7,28,7,28,0,0,0,0,0,0,0,0,6,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,6,12,48
SSC70198,207,391,3,26,24,117,5,33,312,1217,354,1397,5,29,21,64,18,64,50,159,404,1559,0,0,0,3,4,11,17,50,22,72,0,9,3,6,0,7,5,15,29,89,3,9,641,2051
SSC70199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70200,15,42,0,0,0,9,5,26,15,53,18,85,0,0,0,5,0,10,0,8,23,95,0,11,0,0,0,6,10,18,12,35,0,5,0,0,3,12,6,18,13,52,0,3,55,193
SSC70201,143,287,5,37,21,105,7,50,141,548,181,736,9,41,24,88,47,150,81,279,263,1012,0,0,5,31,6,14,23,65,32,110,0,6,4,14,27,52,34,70,68,178,7,14,489,1498
SSC70202,0,3,0,4,0,0,0,0,0,5,3,15,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,3,3,3,7,8,0,0,9,28
SSC70203,16,34,0,0,0,4,5,34,22,104,29,140,0,0,0,4,6,14,5,20,34,163,5,17,0,7,0,16,21,50,26,82,0,0,0,0,3,12,3,12,29,97,3,9,84,296
SSC70204,3,8,0,0,0,10,3,21,8,33,9,63,0,0,0,0,3,4,3,4,10,68,0,0,0,0,0,3,3,14,6,16,0,0,0,0,4,13,4,13,5,34,0,3,29,113
SSC70205,0,0,0,0,0,0,0,0,4,21,4,21,0,0,0,0,0,4,0,4,6,24,0,0,0,0,0,7,5,11,3,19,0,0,0,0,3,5,3,5,4,25,0,0,11,48
SSC70206,6,16,3,23,5,28,3,25,33,157,50,230,0,0,0,0,0,11,0,11,48,243,4,18,3,18,0,3,12,32,19,76,3,10,0,0,0,5,3,10,26,86,0,0,82,350
SSC70207,45,90,11,66,5,58,17,133,67,317,102,581,0,8,3,9,8,41,14,54,114,630,0,0,3,9,13,75,30,100,43,183,0,0,0,3,13,33,12,38,56,213,9,16,218,956
SSC70208,234,454,0,4,32,146,24,115,310,1236,363,1495,10,30,14,37,29,84,52,152,417,1647,0,8,3,12,9,35,54,128,69,193,0,0,9,20,23,51,32,69,102,264,7,19,761,2386
SSC70209,3,9,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18
SSC70210,396,768,6,36,43,193,6,34,270,980,329,1244,11,39,21,58,39,130,69,225,392,1471,0,10,5,12,0,5,43,99,45,123,9,17,16,30,39,78,57,127,106,248,19,44,921,2526
SSC70211,15,25,0,0,0,0,0,6,13,39,14,44,0,0,0,3,0,0,0,3,10,45,0,0,3,9,0,7,9,36,16,52,0,0,0,0,0,3,0,3,12,56,0,0,37,126
