SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC70279,4,9,0,0,0,8,0,0,5,33,8,45,0,0,0,0,0,6,0,6,10,46,0,0,0,0,3,8,3,5,5,14,0,0,0,0,4,15,4,15,14,26,0,0,24,85
SSC70280,148,291,3,22,29,156,3,9,106,441,145,623,10,52,16,56,50,157,77,262,223,890,3,11,9,43,6,10,23,74,44,141,0,5,10,19,25,54,32,83,78,220,7,22,452,1430
SSC70281,23,51,0,8,3,12,6,45,26,126,42,199,0,0,0,3,0,9,6,14,47,211,0,0,0,8,3,15,10,38,14,53,0,0,0,0,10,28,13,29,29,84,6,7,97,356
SSC70282,3,6,0,0,0,3,0,9,12,52,17,65,0,0,0,0,3,9,3,9,15,75,0,0,0,0,0,6,0,0,3,4,0,0,0,0,0,5,0,5,5,14,0,3,24,99
SSC70283,7,10,0,0,0,3,0,0,3,17,8,20,0,8,0,0,0,3,0,7,10,25,0,0,0,0,0,7,3,7,4,10,0,0,0,0,0,0,0,0,4,10,0,0,20,51
SSC70284,29,59,4,20,5,19,13,113,39,197,60,355,0,10,0,0,6,11,7,21,66,378,0,3,0,11,4,32,14,62,24,110,0,6,0,0,4,15,8,19,28,131,5,13,131,581
SSC70285,32,68,0,0,0,3,0,0,9,40,11,40,0,7,0,3,7,14,9,22,17,68,0,0,0,0,0,3,0,6,4,9,0,0,0,3,0,3,0,3,7,12,0,3,58,147
SSC70286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70287,19,35,0,0,5,28,3,32,21,75,31,137,0,0,0,0,5,15,5,15,32,148,0,0,0,9,0,13,9,37,15,59,0,0,0,0,5,15,5,15,14,76,3,10,68,269
SSC70288,6,18,0,0,0,0,3,15,6,23,5,35,0,0,0,0,3,12,3,12,9,44,0,0,0,0,0,3,3,8,3,16,0,0,0,0,4,9,4,9,9,25,3,8,27,92
SSC70289,0,4,0,17,0,0,0,16,11,48,15,84,0,0,0,5,0,5,4,8,17,92,0,0,0,10,0,6,4,13,3,27,0,0,0,0,0,3,0,3,7,26,0,0,20,123
SSC70290,23,37,0,0,0,0,0,0,4,19,4,19,0,0,0,0,0,3,0,3,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,31,68
SSC70291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70292,241,476,5,18,26,127,14,55,237,919,278,1121,21,97,33,98,59,193,114,385,388,1508,0,3,10,38,3,16,84,250,101,314,3,3,12,30,49,103,61,140,166,451,14,27,817,2465
SSC70293,130,254,0,4,6,16,3,11,56,200,64,240,3,19,3,18,3,12,10,44,75,278,0,0,0,0,0,0,11,21,11,21,0,0,0,8,4,9,6,17,16,38,8,14,227,584
SSC70294,214,422,3,39,33,143,11,52,182,693,234,924,6,33,21,74,41,137,75,247,309,1168,0,0,10,32,3,14,58,169,65,209,4,16,9,17,42,93,54,121,122,337,10,19,653,1943
SSC70295,84,193,7,68,14,90,18,102,90,406,133,667,6,24,0,3,23,102,31,132,163,797,3,15,3,25,7,40,43,150,63,226,4,13,0,3,31,103,36,114,96,338,31,79,376,1413
SSC70296,11,23,0,8,0,0,3,21,15,57,18,90,0,0,0,0,0,3,0,3,18,93,0,0,0,0,0,4,5,19,6,21,0,0,0,0,3,3,3,3,11,31,0,0,39,143
SSC70297,14,34,0,7,0,3,3,38,22,109,26,163,0,0,0,0,3,6,3,6,31,166,0,0,0,0,3,19,7,15,10,34,0,0,0,0,0,3,0,3,7,33,0,3,57,238
SSC70298,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,3,3,12
SSC70299,25,62,8,48,8,34,6,27,51,200,64,311,0,0,0,9,10,52,16,58,81,365,3,32,0,0,8,59,27,101,42,185,0,0,0,9,13,48,16,59,59,240,8,31,168,703
SSC70300,14,27,0,0,0,3,7,21,20,83,22,113,0,0,0,0,8,20,7,26,26,137,0,0,0,0,0,4,3,20,9,22,0,0,0,0,3,13,3,13,12,34,0,0,51,192
SSC70301,43,95,0,5,0,13,13,56,50,224,64,298,0,0,0,8,7,24,9,38,70,335,0,4,0,0,3,26,29,103,35,134,0,0,0,0,14,38,14,38,41,172,4,10,161,603
SSC70302,108,200,0,0,0,4,0,0,33,112,35,110,0,0,0,0,3,9,3,9,35,118,0,0,0,3,0,0,5,13,6,19,0,0,0,3,0,0,0,3,7,18,3,5,155,346
SSC70303,99,198,0,8,13,71,3,15,138,511,160,602,0,11,4,11,8,29,15,52,171,649,0,0,0,0,0,4,13,36,20,44,0,3,0,4,10,18,16,24,28,63,3,9,305,919
SSC79494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC79797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
