SSC_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC70137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,4,11,6,0,0,0,0,52,40,24,35,51,37,13,3,3,0,206
SSC70138,0,12,22,37,32,18,11,0,0,130,0,3,17,22,35,12,5,0,0,99,0,3,15,30,26,18,12,0,0,103,0,3,17,29,32,10,6,0,0,87,0,0,18,49,39,12,5,0,0,123,0,0,6,22,20,7,0,0,0,54,17,15,26,19,36,32,9,6,0,154,101,89,212,297,290,180,138,50,10,1371
SSC70139,0,59,63,21,14,4,4,0,0,163,0,41,73,47,16,5,0,0,0,179,0,14,84,43,6,3,0,0,0,158,0,4,37,24,9,4,0,0,0,81,0,5,47,48,17,5,0,0,0,124,0,3,29,20,8,4,0,0,0,75,15,18,44,36,9,11,3,0,0,141,85,274,546,330,123,63,24,0,0,1445
SSC70140,0,0,5,3,0,0,0,0,0,16,0,0,3,3,6,0,0,0,0,9,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,5,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,7,11,14,13,11,3,3,0,0,59,26,31,62,39,57,20,15,0,3,250
SSC70141,0,0,4,3,0,3,0,0,0,8,0,0,0,0,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,13,9,21,3,16,4,0,0,0,68,21,37,56,33,43,25,13,6,0,230
SSC70142,0,0,8,0,0,7,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,38,8,5,13,12,6,3,3,0,87,54,39,59,65,53,35,18,11,0,323
SSC70143,3,35,103,88,78,62,11,0,0,382,0,15,70,81,62,51,10,0,0,288,0,13,47,73,64,40,12,0,0,244,0,0,32,50,46,39,3,0,0,179,0,0,45,50,49,45,3,0,0,193,0,0,10,22,7,13,0,0,0,60,63,44,125,88,88,78,27,12,8,527,373,323,781,717,654,592,247,79,27,3793
SSC70144,0,14,34,19,17,18,3,4,3,110,0,7,32,16,25,18,3,0,0,95,0,5,30,9,18,17,5,0,0,87,0,3,14,11,12,7,3,0,0,50,0,3,20,18,17,9,0,0,0,66,0,0,0,0,7,5,0,0,0,16,18,30,76,34,57,32,27,11,4,298,63,119,300,165,233,187,94,45,20,1230
SSC70145,3,23,72,45,41,22,8,0,0,218,0,15,70,53,33,18,7,0,0,195,0,5,63,43,31,20,5,0,0,161,0,4,26,27,42,22,3,0,0,123,0,0,31,30,28,17,5,0,0,122,0,0,8,10,13,10,3,0,0,39,63,33,112,76,84,55,37,13,3,486,239,183,560,429,405,266,153,47,5,2297
SSC70146,3,10,37,18,27,17,8,0,0,119,0,3,28,21,17,7,10,0,0,83,0,0,20,8,13,18,7,0,0,65,0,0,9,6,12,6,3,0,0,35,0,0,13,6,7,8,0,0,0,38,0,0,0,4,6,0,0,0,0,8,22,28,78,51,59,73,31,25,7,370,73,100,270,191,219,214,115,39,6,1231
