SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC70275,..,23,23,30,9,38,24,0,30,30,0,30,31,0,31,160,0,160,283,34,317
SSC70276,..,51,51,78,3,80,27,0,27,15,0,15,3,0,3,4,0,4,129,63,190
SSC70277,..,81,81,149,32,187,120,7,127,110,0,116,44,0,50,59,0,58,484,129,612
SSC70278,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70279,..,3,3,8,0,8,3,0,3,3,0,3,5,0,5,8,0,8,24,3,28
SSC70280,..,101,101,126,19,148,93,3,99,93,4,99,63,3,66,45,0,45,422,126,552
SSC70281,..,9,9,16,0,16,8,0,8,8,0,8,11,0,8,28,0,28,62,8,71
SSC70282,..,14,14,3,0,3,6,0,6,0,0,0,3,0,3,11,0,11,22,14,34
SSC70283,..,3,3,8,0,7,0,0,0,3,0,3,0,0,0,3,0,3,12,7,18
SSC70284,..,3,3,7,0,7,6,0,6,10,0,10,11,0,11,42,0,42,81,3,85
SSC70285,..,30,30,34,3,35,9,0,5,6,0,6,6,0,6,7,0,7,55,37,85
SSC70286,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70287,..,3,3,11,0,11,4,0,4,9,0,9,3,0,3,20,0,20,48,6,55
SSC70288,..,0,0,3,0,3,0,0,0,4,0,4,6,0,6,3,0,3,17,0,24
SSC70289,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,8,0,8
SSC70290,..,58,58,20,3,26,3,0,9,3,0,3,0,0,0,0,0,0,27,60,92
SSC70291,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70292,..,232,232,290,31,316,206,11,218,173,0,178,87,0,90,44,0,44,798,274,1068
SSC70293,..,64,64,120,34,155,42,18,60,42,3,51,17,0,17,4,0,3,224,122,352
SSC70294,..,93,93,237,28,260,151,0,157,151,5,153,57,3,56,38,0,35,631,126,756
SSC70295,..,42,42,60,7,67,45,0,45,51,0,51,56,0,56,90,0,90,311,50,360
SSC70296,..,5,5,7,0,7,3,0,3,6,0,6,0,0,0,11,0,11,30,5,31
SSC70297,..,8,8,9,0,9,3,0,3,6,0,6,3,0,3,20,0,20,36,9,42
SSC70298,..,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,4,8
SSC70299,..,18,18,13,4,14,6,0,6,14,0,14,12,0,12,55,0,55,98,21,121
SSC70300,..,6,6,3,0,3,0,0,0,6,0,6,0,0,0,21,0,21,31,6,37
SSC70301,..,20,20,16,3,19,10,0,14,24,0,24,22,0,22,40,0,40,119,25,138
SSC70302,..,263,263,111,46,157,27,15,41,9,12,20,4,0,4,0,0,0,153,327,480
SSC70303,..,30,30,94,17,110,82,4,93,72,0,73,35,0,35,11,0,11,297,55,353
SSC79494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC79797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
