SSC_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SSC70095,0,0,7,7,0,0,13,12,6,3,4,8,4,0,0,3,6,0,0,5,3,0,0,5,0,0,3,3,0,0,0,0,0,0,0,0,19,4,25,49,0,0,6,6,4,0,6,13,0,0,10,12,9,0,9,14,3,0,5,13,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,22,5,34,58,0,0,13,13,4,0,16,22,8,4,8,18,11,0,4,16,9,0,7,18,6,0,0,13,3,0,5,4,0,0,0,3,0,0,0,0,37,7,61,106
SSC70096,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,3,3,0,0,5,3,0,4,4,3,0,0,5,0,0,0,0,0,0,0,0,14,3,4,24,0,0,0,0,0,0,0,0,3,0,0,5,0,4,0,5,4,0,0,6,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,18,4,8,24,0,0,0,0,0,0,0,0,3,0,0,5,4,4,0,5,11,0,0,11,6,0,4,11,3,0,0,9,0,0,0,0,0,0,0,0,28,9,12,49
SSC70097,0,0,49,49,0,3,27,30,36,50,93,179,80,30,35,148,106,26,46,174,78,11,54,141,69,6,32,115,29,0,17,49,7,0,5,13,409,134,363,907,0,0,40,39,3,4,33,41,62,57,77,195,108,30,41,174,105,22,43,171,62,15,46,127,55,0,40,97,17,0,31,54,3,0,12,16,417,134,359,911,0,0,90,90,3,6,62,71,98,105,168,368,185,58,77,324,214,49,83,343,141,29,99,268,132,11,76,212,48,3,51,108,7,0,17,25,831,264,723,1815
SSC70098,0,0,31,31,4,11,30,46,57,46,34,143,76,22,18,116,51,15,7,72,25,0,6,35,7,0,3,9,4,0,0,4,0,0,0,0,221,100,133,453,0,3,31,32,5,18,19,43,70,45,30,144,86,21,17,118,39,8,21,77,14,5,8,23,4,0,11,14,4,0,7,8,0,0,0,0,224,93,143,464,0,3,64,70,13,28,48,85,130,92,65,285,155,43,35,232,93,25,31,145,37,6,13,60,16,0,7,22,11,0,7,13,0,0,0,0,446,192,280,916
SSC70099,0,0,8,8,7,3,3,9,10,4,4,19,7,0,0,6,4,0,3,10,6,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,27,15,22,60,0,0,3,3,3,3,0,6,10,6,6,25,5,3,0,9,7,0,9,15,3,0,5,12,0,0,0,3,0,0,0,0,0,0,0,0,24,14,24,62,0,0,7,6,5,5,4,12,17,13,12,43,6,5,0,13,14,0,6,22,8,0,4,16,0,3,0,7,0,0,3,3,0,0,0,0,51,25,49,122
SSC70100,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,6,0,0,5,5,3,0,0,3,3,0,0,3,0,0,0,0,12,0,12,19,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,7,3,0,0,4,0,0,0,0,0,0,0,0,8,0,5,11,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,3,3,8,11,0,0,5,10,9,0,0,9,3,0,0,3,0,0,0,0,15,3,18,36
SSC70101,0,0,0,0,0,0,5,5,0,0,3,7,3,3,0,4,8,0,3,11,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,4,10,33,0,0,3,3,0,0,0,0,0,3,0,4,3,4,0,8,3,0,0,5,3,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,13,4,4,25,0,0,5,5,0,0,3,3,0,3,5,8,3,6,0,10,13,3,3,16,6,0,0,6,3,0,0,3,0,0,0,0,0,0,0,0,25,12,15,55
SSC70102,0,0,3,3,0,0,0,0,6,3,3,10,7,10,3,13,3,3,0,9,3,0,3,4,3,0,7,7,0,0,0,0,0,0,0,0,26,17,18,51,0,0,6,6,0,0,0,0,11,4,0,12,7,4,0,9,4,7,0,10,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,21,15,13,49,0,0,11,11,0,0,0,0,11,7,3,26,9,8,3,22,8,12,3,18,3,0,0,7,7,0,7,12,3,0,0,3,0,0,0,0,46,28,26,106
SSC70103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC70104,0,0,3,3,0,0,4,4,3,3,3,9,0,0,4,3,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,5,19,28,0,0,0,0,0,0,3,4,0,3,0,6,0,0,4,4,0,0,3,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,10,8,15,29,0,3,3,6,3,0,6,8,3,4,8,15,0,0,5,12,0,0,5,8,3,0,3,10,3,0,0,5,0,0,0,0,0,0,0,0,14,15,34,59
