SSC_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SSC70059,473,298,735,418,357,312,196,99,24,2906,5,0,3,0,0,0,0,0,0,8,4,0,0,5,0,4,0,0,0,15,0,0,0,4,0,3,0,3,0,16,0,0,0,3,0,0,0,4,0,18,0,0,0,0,0,5,0,0,0,6,0,0,3,4,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,8,13,5,14,6,3,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,18,21,16,20,12,5,0,120,15,10,24,22,16,23,16,5,0,133,488,310,752,442,377,326,209,112,23,3037
SSC70060,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4
SSC70061,73,39,36,47,70,51,39,16,3,370,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,11,3,7,0,0,21,0,6,0,3,11,5,3,0,0,32,74,44,36,47,82,59,38,16,3,400
SSC70062,94,110,121,51,47,51,32,8,0,522,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,6,5,0,0,22,0,4,0,0,3,3,21,0,0,36,0,0,0,0,0,6,3,0,0,21,0,0,0,0,0,7,0,0,0,9,3,0,0,3,4,0,0,0,0,14,0,0,0,0,0,0,0,0,3,3,0,0,4,0,7,8,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,13,3,20,38,30,3,3,130,12,10,13,3,20,38,30,3,3,135,107,117,136,62,66,90,63,7,3,652
SSC70063,3,5,3,0,3,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,7,0,0,0,3,3,4,3,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,5,13,6,0,0,38,4,0,0,7,5,13,6,0,0,38,6,5,3,4,7,20,11,0,0,60
SSC70064,18,6,29,9,10,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,3,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,5,3,0,0,0,29,0,0,12,10,5,3,0,0,0,29,18,8,47,14,14,3,0,0,0,105
SSC70065,311,105,119,145,186,170,96,37,7,1166,0,0,0,0,0,0,3,0,0,3,0,5,4,3,6,11,47,8,0,87,6,0,3,8,10,29,53,9,0,112,8,0,0,3,5,14,29,7,0,67,0,5,3,3,4,13,21,11,3,66,0,0,0,0,8,16,24,0,0,49,3,0,0,0,3,16,3,5,0,39,13,5,11,13,5,20,9,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,23,24,36,44,120,185,35,3,500,37,22,24,36,44,120,185,35,3,508,345,127,146,179,230,290,280,72,9,1671
SSC70066,0,7,0,3,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,11,0,3,0,3,3,0,0,15
SSC70067,0,0,0,3,3,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,17
SSC70068,4,17,12,4,6,6,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,13,0,3,0,6,0,0,0,0,0,13,4,22,8,9,6,5,0,0,0,52
SSC70069,100,29,39,26,24,6,3,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,102,32,39,24,24,6,3,0,0,239
SSC70070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70071,21,3,13,12,18,10,16,7,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,19,0,0,0,0,0,6,7,0,0,20,0,0,0,0,3,4,4,0,0,10,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,14,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,44,19,6,0,81,0,0,3,5,13,44,19,6,0,82,21,3,19,15,29,50,39,14,0,185
SSC70072,0,3,3,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,9,7,0,0,4,0,0,3,0,0,13,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,5,6,18,0,0,37,4,0,0,5,5,6,18,0,0,37,4,3,3,5,9,9,19,0,0,49
SSC70073,519,704,2163,942,756,595,240,55,19,5997,0,0,7,0,4,3,0,0,0,15,12,25,110,112,124,199,231,97,11,928,23,30,87,98,158,224,183,74,7,879,20,19,88,119,175,162,100,26,4,720,15,22,59,74,86,90,81,17,13,453,5,17,96,92,166,138,110,58,3,683,0,3,12,5,15,23,18,8,0,81,14,81,167,106,112,46,16,0,0,541,3,12,39,46,47,27,0,6,0,179,0,0,0,0,0,0,0,0,0,0,85,210,654,651,881,911,734,289,41,4468,89,212,658,651,887,914,733,289,41,4481,611,920,2818,1593,1644,1512,973,351,59,10475
SSC70074,157,59,78,97,121,77,52,8,0,658,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,9,0,0,0,0,0,3,5,0,0,15,0,0,0,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,10,12,12,3,0,44,3,4,0,3,10,12,12,3,0,46,163,63,76,103,129,94,67,14,0,702
SSC70075,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC70076,32,28,41,25,18,7,12,3,0,168,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,11,7,3,0,0,4,10,13,3,0,47,0,3,0,0,0,10,5,0,0,22,0,3,0,0,0,3,13,0,0,14,0,0,0,0,0,4,6,3,0,14,0,0,0,0,0,3,0,0,0,5,0,5,0,0,4,10,5,0,0,25,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,14,10,5,14,41,39,8,0,137,3,14,10,5,13,41,39,8,0,135,40,40,47,36,32,55,50,10,0,309
SSC70077,7,11,10,8,3,0,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,0,0,0,0,3,4,0,0,0,11,4,0,3,0,3,8,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,17,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,7,4,0,6,25,18,4,0,73,4,7,4,0,6,25,18,4,0,73,9,10,16,9,8,25,20,9,0,105
SSC70078,265,143,208,195,266,194,72,34,10,1386,0,0,0,0,0,0,0,0,0,0,0,0,8,4,24,42,42,18,0,148,4,6,11,16,17,28,13,16,0,115,0,3,5,4,19,17,21,4,0,73,7,9,7,11,20,14,17,7,0,90,0,0,0,0,3,4,0,0,0,16,0,0,0,0,0,0,10,3,0,9,4,0,13,25,17,33,5,0,0,106,0,3,3,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,18,19,50,62,103,151,117,45,3,561,18,19,50,62,103,151,117,45,3,561,281,170,254,249,368,347,184,77,20,1950
SSC70079,31,23,66,32,32,30,11,0,0,230,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,7,4,0,0,24,12,0,5,8,10,6,8,0,0,48,0,0,15,4,15,14,0,0,0,44,0,0,4,0,5,10,10,0,0,37,0,0,5,5,5,3,3,0,0,24,0,0,0,0,4,0,5,0,0,13,17,18,35,16,9,9,4,3,0,103,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,31,27,65,38,37,50,40,4,0,291,31,27,65,38,37,50,40,4,0,291,68,51,129,72,72,80,50,6,0,527
SSC70080,671,414,473,418,389,263,90,35,0,2757,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,7,4,0,0,12,0,0,5,4,4,0,6,0,0,21,0,0,0,0,3,0,0,0,0,3,0,6,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11,9,5,6,5,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,12,12,13,17,11,6,0,89,10,17,12,12,13,17,11,6,0,89,678,432,486,424,401,278,100,41,5,2845
SSC70081,16,9,12,23,27,47,55,7,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,3,0,6,5,0,0,17,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,9,0,0,14,0,0,0,3,3,4,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,4,29,19,0,0,67,3,0,0,9,4,29,19,0,0,67,18,7,15,25,37,78,72,7,0,262
SSC70082,8,0,0,5,13,25,15,3,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,15,0,0,0,4,4,3,0,0,0,15,8,0,0,8,20,31,15,3,0,85
SSC70083,10,3,3,11,16,20,12,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,12,0,0,0,4,3,0,0,0,0,12,10,3,3,10,20,24,17,0,0,76
SSC70084,868,408,769,532,403,254,94,21,4,3358,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,4,5,3,0,23,0,0,3,0,3,3,8,0,0,24,3,0,0,0,3,0,3,0,0,8,3,0,0,3,3,0,6,0,0,19,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,9,3,3,14,3,3,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,27,15,18,19,22,7,0,121,6,7,25,15,20,19,22,5,0,125,876,412,794,545,422,271,117,30,10,3484
SSC70085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3
SSC70086,290,221,107,126,68,53,20,9,0,905,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,9,3,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7,3,8,6,5,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,3,11,13,23,8,0,72,3,8,10,3,11,19,23,8,0,78,295,231,117,131,79,74,41,17,0,981
SSC70087,0,0,3,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,11,0,0,3,0,4,0,0,0,0,11,0,0,8,0,11,4,0,0,0,20
SSC70088,521,281,480,392,400,367,187,50,11,2696,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,14,14,5,3,41,0,0,15,3,4,12,4,3,0,42,0,0,10,0,9,4,7,0,0,23,0,3,3,0,4,6,3,0,0,25,0,0,6,3,0,5,3,0,0,19,0,3,5,0,0,4,0,0,0,16,14,14,19,16,9,14,0,0,0,83,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,17,57,31,32,56,37,14,3,252,16,17,57,31,32,52,37,14,3,254,538,300,539,421,425,423,224,61,18,2947
SSC70089,14,36,77,30,25,6,3,0,0,190,0,0,0,0,0,0,0,0,0,0,0,4,35,17,14,15,0,0,0,96,0,0,7,5,10,12,3,0,0,37,0,14,42,13,17,12,0,0,0,108,0,9,24,14,3,16,8,0,0,67,0,3,4,9,8,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,15,4,13,14,17,3,0,0,0,68,0,3,0,3,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12,34,128,75,72,67,16,0,0,411,12,34,128,75,72,67,16,0,0,411,28,69,210,103,95,72,14,4,0,601
SSC70090,28,20,24,22,42,18,15,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,17,0,0,23,0,0,0,3,0,4,17,0,0,23,28,20,24,24,42,23,24,0,0,186
SSC70091,110,45,41,40,26,23,12,3,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,3,0,8,0,0,0,0,0,3,0,0,0,6,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,8,12,0,3,0,33,3,0,3,5,8,12,0,3,0,33,114,48,49,46,31,35,14,6,3,352
SSC70092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70093,8,3,0,3,11,3,3,0,0,37,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,10,3,0,0,27,0,0,0,0,0,3,12,0,0,18,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,22,25,3,0,64,0,3,8,6,3,20,25,3,0,72,5,4,8,7,14,28,34,3,0,105
SSC70094,57,57,40,30,44,25,20,3,0,276,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,4,4,0,0,4,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,8,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,8,14,9,0,0,41,9,0,0,3,8,14,9,0,0,41,62,63,37,37,47,41,27,3,0,324
SSC70095,34,38,18,16,18,13,4,3,0,138,5,3,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,5,3,4,0,0,3,3,0,0,16,36,34,20,21,19,13,6,3,0,161
SSC70096,13,0,8,10,11,16,7,5,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,7,4,0,0,0,0,3,3,0,0,7,18,3,8,10,11,20,12,5,0,95
SSC70097,413,180,407,355,378,296,251,134,79,2488,0,0,0,0,0,0,4,0,0,4,0,0,0,6,0,6,4,0,0,22,7,0,3,3,3,3,9,3,0,28,3,0,4,3,0,8,3,3,0,27,0,0,0,3,0,0,3,3,0,11,9,0,0,3,0,3,9,0,0,18,0,0,0,0,3,0,0,0,0,8,9,6,21,22,8,15,3,0,0,80,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,24,8,31,36,21,27,26,9,10,198,24,8,31,36,21,27,28,9,10,201,434,188,437,396,397,325,280,147,86,2688
