SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC70239,79,9,0,0,0,93,17,4,0,0,0,24,3,0,0,0,0,3,103,18,0,0,0,120
SSC70240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70242,48,0,0,3,0,48,17,0,0,0,0,20,4,0,0,0,0,4,70,0,0,3,0,76
SSC70243,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,21
SSC70244,54,45,0,0,0,96,17,5,0,0,0,27,6,0,0,0,0,6,79,49,0,0,0,129
SSC70245,328,312,625,12,6,1290,41,50,68,9,3,173,12,12,17,10,3,52,387,374,714,31,7,1513
SSC70246,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,12,0,0,0,0,14
SSC70247,15,3,0,11,0,22,15,0,0,0,0,15,0,0,0,3,0,4,29,3,0,17,0,43
SSC70248,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC70249,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC70250,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,10,0,0,0,0,10
SSC70251,435,28,108,25,4,598,158,8,46,7,0,220,38,3,10,4,0,54,632,44,158,31,4,865
SSC70252,0,0,0,0,0,0,29,0,0,0,0,29,3,0,0,0,0,3,34,0,0,0,0,34
SSC70253,155,244,51,0,9,451,37,58,18,0,0,112,8,7,4,0,0,21,200,315,69,0,9,590
SSC70254,7,194,55,3,0,258,0,30,11,3,0,47,0,0,0,0,0,8,7,224,70,9,0,313
SSC70255,93,48,10,0,0,153,9,18,32,0,0,56,3,0,6,0,0,14,106,69,56,0,0,226
SSC70256,9,3,0,0,0,14,6,0,0,0,0,10,5,0,0,0,0,3,18,4,0,0,0,27
SSC70257,34,0,0,10,0,47,13,0,0,7,0,21,0,0,0,0,0,0,49,0,0,16,0,71
SSC70258,165,0,0,0,0,167,6,0,0,0,0,6,3,0,0,0,0,3,178,0,0,0,0,186
SSC70259,6,0,0,0,0,6,7,0,0,0,0,7,0,0,0,3,0,3,10,0,0,3,0,11
SSC70260,6,0,0,0,0,3,30,0,3,0,0,34,4,0,0,0,3,3,38,0,8,0,3,47
SSC70261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70262,496,44,126,0,3,666,66,19,6,0,0,89,14,0,5,0,0,17,582,62,134,0,3,781
SSC70263,22,0,0,0,0,22,10,0,0,0,0,10,6,0,0,0,0,6,41,0,0,0,0,41
SSC70264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6
SSC70266,40,0,0,9,0,52,4,0,0,0,0,4,0,0,0,0,0,3,45,0,0,11,0,55
SSC70267,6,3,0,0,0,11,65,9,0,0,0,78,0,0,0,0,0,0,74,10,0,0,0,84
SSC70268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70269,43,0,0,0,0,44,3,0,0,0,0,3,0,0,0,0,0,0,49,0,0,0,3,51
SSC70270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70271,3,0,0,0,11,12,0,0,0,0,3,3,0,0,0,0,0,3,4,0,0,0,15,16
SSC70272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70273,11,0,0,0,0,17,12,0,0,3,0,14,4,0,0,0,0,7,27,0,0,3,0,30
SSC70274,455,0,0,39,3,500,58,0,0,17,0,71,16,0,0,0,0,14,526,0,0,58,3,588
SSC70275,78,27,0,7,0,112,142,46,0,0,0,184,9,7,0,0,0,15,224,87,3,7,0,317
SSC70276,146,0,0,4,0,145,31,0,0,0,0,31,12,0,0,0,0,12,189,0,0,4,0,190
SSC70277,414,87,10,0,0,514,62,15,0,0,0,81,15,3,0,0,0,18,494,108,10,0,0,612
SSC70278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70279,3,0,0,0,0,3,21,3,0,0,0,19,0,0,0,0,0,0,24,3,0,0,0,28
SSC70280,415,10,19,9,3,462,42,0,26,0,0,67,24,0,5,0,0,29,480,12,45,9,3,552
SSC70281,36,13,0,0,0,48,23,0,0,0,0,21,6,0,0,0,0,6,63,9,0,0,0,71
SSC70282,9,0,0,6,0,13,20,0,0,3,0,21,0,0,0,0,0,0,22,0,0,11,0,34
SSC70283,15,0,0,4,0,16,4,0,0,0,0,4,3,0,0,0,0,3,18,0,0,4,0,18
SSC70284,4,0,0,0,0,10,57,0,0,12,0,66,6,0,0,3,0,10,68,0,0,15,0,85
SSC70285,42,4,0,21,0,65,4,0,0,8,0,12,0,0,0,6,0,7,49,0,0,41,0,85
SSC70286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70287,3,0,0,0,3,7,43,0,0,0,0,43,0,0,0,0,0,0,47,0,0,0,3,55
SSC70288,0,0,0,0,0,0,18,0,0,0,0,24,0,0,0,0,0,0,18,0,0,0,0,24
SSC70289,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,8
SSC70290,12,3,3,46,11,69,3,0,0,11,4,14,0,0,0,3,0,8,10,3,3,58,11,92
SSC70291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70292,739,110,14,0,0,861,94,65,7,0,0,168,29,12,7,0,0,47,858,187,23,0,0,1068
SSC70293,77,9,221,0,3,309,4,0,20,0,0,29,3,0,4,0,0,4,87,13,242,0,4,352
SSC70294,663,6,0,0,0,667,67,0,0,0,0,67,20,3,0,0,0,22,748,7,0,0,0,756
SSC70295,242,0,4,0,4,250,89,0,7,0,0,89,18,0,0,0,0,19,341,0,10,0,3,360
SSC70296,3,0,0,0,0,3,32,0,0,0,0,32,0,0,0,0,0,0,31,0,0,0,0,31
SSC70297,9,0,0,0,0,9,32,0,0,0,0,32,5,0,0,0,0,5,42,0,0,0,0,42
SSC70298,3,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,8
SSC70299,71,14,0,0,0,91,31,0,0,0,0,33,0,0,0,0,0,0,105,15,0,0,0,121
SSC70300,0,0,0,0,0,0,33,0,0,0,0,36,0,0,0,0,0,0,33,0,0,0,0,37
SSC70301,49,7,0,0,0,58,72,0,14,0,0,80,0,0,0,0,0,0,120,7,13,0,0,138
SSC70302,13,56,224,30,3,331,4,13,89,18,3,121,0,0,24,4,0,24,22,66,336,55,8,480
SSC70303,295,27,0,0,0,320,20,3,0,0,0,20,5,0,0,0,0,7,321,31,0,0,0,353
SSC79494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC79797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
