SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC70030,191,0,0,11,3,200,29,0,0,6,0,31,13,0,0,4,0,18,230,0,0,14,3,253
SSC70031,44,21,0,0,0,68,10,0,0,0,0,14,0,0,0,0,0,0,63,22,0,0,0,84
SSC70032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
SSC70033,9,0,0,0,0,9,14,0,0,0,0,14,0,0,0,0,0,0,25,0,0,0,0,25
SSC70034,3,0,0,3,0,6,0,0,0,3,0,8,0,0,0,3,0,3,8,0,0,12,0,17
SSC70035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70036,5,0,0,3,0,8,3,0,0,0,0,3,0,0,0,0,0,3,13,0,0,0,0,16
SSC70037,103,3,4,17,3,123,21,0,3,5,0,33,15,0,0,7,0,32,139,6,6,29,6,184
SSC70038,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,8,0,0,0,0,8
SSC70039,666,108,3,9,3,797,100,44,3,6,3,151,29,12,0,3,0,48,801,166,5,24,9,996
SSC70040,130,140,33,0,0,310,11,18,4,0,0,36,0,7,0,0,0,5,146,163,39,0,0,346
SSC70041,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,12
SSC70042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70043,10,0,0,0,0,13,28,3,0,0,0,33,0,0,0,0,0,0,38,3,0,0,0,46
SSC70044,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,9
SSC70045,21,0,0,0,0,26,18,0,0,0,0,21,0,0,0,0,0,0,43,0,0,4,0,42
SSC70046,15,0,0,0,0,21,17,0,0,0,0,16,3,0,0,0,0,8,34,0,0,3,3,40
SSC70047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70048,0,0,0,0,0,0,3,0,0,0,4,5,0,0,0,0,0,0,3,0,0,0,4,5
SSC70049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70050,3,0,0,0,0,3,24,0,0,0,0,24,0,0,0,0,0,0,33,0,0,0,0,33
SSC70051,3,0,25,0,0,27,0,0,0,3,0,3,0,0,6,0,0,6,3,0,28,3,0,31
SSC70052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70054,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
SSC70055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70056,15,13,0,27,7,61,9,8,0,7,4,21,0,0,0,0,3,10,26,23,0,32,12,94
SSC70057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70058,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3
SSC70059,248,324,282,4,3,849,26,106,110,0,0,246,5,12,28,0,3,47,279,438,414,3,7,1142
SSC70060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC70061,96,0,0,7,0,105,12,0,0,3,0,12,6,0,0,0,0,6,111,0,0,10,0,124
SSC70062,18,43,70,36,0,164,0,4,18,16,0,37,0,3,3,4,0,11,13,49,88,54,3,208
SSC70063,3,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,6
SSC70064,14,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,18
SSC70065,208,0,0,34,27,273,42,0,0,13,9,68,5,0,0,6,3,15,259,0,0,58,36,354
