SSC_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SSC70097,236,29,7,0,0,0,0,274
SSC70098,186,12,10,3,0,0,0,214
SSC70099,22,5,0,0,0,0,0,26
SSC70100,3,0,0,0,0,0,0,4
SSC70101,8,0,0,0,0,0,0,11
SSC70102,19,0,0,0,0,0,0,20
SSC70103,0,0,0,0,0,0,0,0
SSC70104,7,0,0,0,0,0,0,10
SSC70105,3,0,0,0,0,0,0,3
SSC70106,177,9,0,31,5,3,10,229
SSC70107,59,6,0,15,0,0,8,89
SSC70108,3,0,0,0,0,0,0,7
SSC70109,394,39,24,13,3,0,5,471
SSC70110,218,12,18,3,0,0,0,249
SSC70111,0,0,0,0,0,0,0,0
SSC70112,256,26,22,4,4,0,4,313
SSC70113,6,0,0,0,0,0,0,3
SSC70114,0,0,0,0,0,0,0,0
SSC70115,86,8,0,14,3,0,5,121
SSC70116,319,36,22,5,0,0,0,380
SSC70117,0,0,0,0,0,0,0,0
SSC70118,19,0,0,3,0,0,0,21
SSC70119,0,0,0,0,0,0,0,0
SSC70120,8,0,0,3,0,0,3,10
SSC70121,0,0,0,0,0,0,0,0
SSC70122,15,0,0,0,0,0,0,15
SSC70123,197,13,12,3,0,0,0,229
SSC70124,37,5,0,10,3,0,3,52
SSC70125,0,0,0,0,0,0,0,0
SSC70126,0,0,0,0,0,0,0,0
SSC70127,16,4,0,0,0,0,0,18
SSC70128,0,0,0,0,0,0,0,0
SSC70129,323,31,23,3,0,0,4,392
SSC70130,7,3,0,0,0,0,3,16
SSC70131,3,0,0,0,0,0,0,3
SSC70132,444,58,35,8,3,0,6,550
SSC70133,44,0,0,0,0,0,0,52
SSC70134,4,0,0,0,0,0,0,10
SSC70135,0,0,0,0,0,0,0,0
SSC70136,85,6,0,3,0,0,0,99
SSC70137,28,0,0,6,0,0,0,34
SSC70138,178,20,8,10,0,0,0,211
SSC70139,230,15,18,13,0,0,0,272
SSC70140,11,3,0,3,0,0,0,16
SSC70141,24,5,0,0,0,0,4,35
SSC70142,18,0,0,3,0,0,0,30
SSC70143,494,39,21,20,0,0,7,578
SSC70144,79,11,4,0,0,0,3,100
SSC70145,278,29,17,11,3,0,7,337
SSC70146,87,8,4,0,0,0,3,100
SSC70147,14,0,0,0,0,0,0,10
SSC70148,27,0,0,3,0,0,0,31
SSC70149,36,3,0,0,0,0,0,42
SSC70150,0,0,0,0,0,0,0,0
SSC70151,4,0,0,3,0,0,0,10
SSC70152,34,3,5,9,0,0,6,64
SSC70153,0,0,0,0,0,0,0,0
SSC70154,0,0,0,0,0,0,0,0
SSC70155,32,3,3,0,0,0,0,39
SSC70156,41,0,3,0,0,0,0,46
SSC70157,26,0,0,3,0,0,3,34
SSC70158,206,9,12,7,0,0,10,242
SSC70159,293,20,9,6,0,0,0,329
SSC70160,3,0,0,0,0,0,0,3
SSC70161,510,39,26,18,3,0,4,600
SSC70162,0,0,0,0,0,0,0,0
SSC70163,4,0,0,0,0,0,0,4
SSC70164,0,0,0,0,0,0,0,0
SSC70165,32,9,3,0,0,0,0,48
SSC70166,21,0,3,0,0,0,0,19
SSC70167,139,18,10,3,0,0,0,170
SSC70168,327,15,18,13,0,0,3,382
SSC70169,278,23,19,8,0,0,3,323
SSC70170,0,0,0,0,0,0,0,0
SSC70171,0,0,0,0,0,0,0,0
SSC70172,209,7,9,34,0,3,6,277
SSC70173,4,0,0,0,0,0,0,10
SSC70174,0,0,0,0,0,0,0,0
SSC70175,0,0,0,0,0,0,0,0
SSC70176,95,14,3,0,0,0,0,107
SSC70177,44,9,0,0,0,0,0,52
SSC70178,121,17,4,0,0,0,0,141
SSC70179,19,0,0,0,0,0,4,25
SSC70180,10,3,0,0,0,0,0,16
SSC70181,86,10,7,0,0,0,0,106
SSC70182,0,0,0,0,0,0,0,0
SSC70183,0,0,0,0,0,0,0,0
SSC70184,3,0,0,0,0,0,0,3
SSC70185,28,3,0,0,0,0,3,43
SSC70186,83,3,3,17,3,0,7,113
SSC70187,246,19,9,0,0,0,0,268
SSC70188,8,0,0,0,0,0,0,10
SSC70189,57,3,0,8,0,0,4,78
SSC70190,18,3,0,3,0,0,0,30
SSC70191,0,0,0,0,0,0,0,0
SSC70192,197,20,15,12,0,0,3,244
SSC70193,222,24,29,5,0,0,0,282
SSC70194,0,0,0,0,0,0,0,0
SSC70195,55,0,5,0,0,0,0,62
SSC70196,6,3,0,0,0,0,0,13
SSC70197,4,0,0,0,0,0,0,6
SSC70198,341,24,18,12,0,0,5,404
SSC70199,0,0,0,0,0,0,0,0
SSC70200,15,3,0,3,0,0,0,23
SSC70201,232,14,8,5,0,0,0,263
SSC70202,3,0,0,0,0,0,0,3
SSC70203,25,7,3,3,0,0,0,34
SSC70204,10,0,0,5,0,3,0,10
SSC70205,3,0,3,0,0,0,0,6
SSC70206,41,0,0,7,0,0,0,48
SSC70207,73,5,3,19,0,0,6,114
SSC70208,355,27,22,6,0,0,0,417
SSC70209,3,0,0,0,0,0,0,3
SSC70210,349,24,17,7,0,0,0,392
SSC70211,12,0,3,0,0,0,0,10
SSC70212,30,4,0,0,0,0,0,35
SSC70213,66,0,3,11,0,0,0,83
SSC70214,0,0,0,0,0,0,0,0
SSC70215,15,0,0,6,0,0,3,28
SSC70216,0,0,0,0,0,0,0,0
SSC70217,0,0,0,0,0,0,0,0
SSC70218,28,0,0,10,0,0,0,36
SSC70219,269,16,12,0,0,0,0,297
SSC70220,0,0,0,0,0,0,0,4
SSC70221,8,0,0,3,0,0,0,14
SSC70222,3,0,0,0,0,0,0,3
SSC70223,4,0,0,3,0,0,3,12
SSC70224,18,3,3,0,0,0,0,26
SSC70225,0,0,0,0,0,0,0,0
SSC70226,22,3,0,0,0,0,0,35
SSC70227,0,0,0,0,0,0,0,0
SSC70228,0,0,0,0,0,0,0,0
SSC70229,59,0,3,14,4,0,6,89
SSC70230,3,0,0,0,0,0,0,3
SSC70231,287,27,12,3,0,0,0,329
SSC70232,0,0,0,0,0,0,0,0
SSC70233,15,0,0,6,5,0,0,21
SSC70234,527,52,38,7,0,0,3,636
SSC70235,52,5,5,0,0,0,0,71
SSC70236,3,0,0,0,0,0,0,9
SSC70237,188,17,12,3,4,0,3,225
SSC70238,55,0,0,8,0,0,0,66
SSC70239,48,5,0,9,0,0,3,58
SSC70240,0,0,0,0,0,0,0,0
SSC70241,0,0,0,0,0,0,0,0
SSC70242,15,5,0,0,0,0,0,20
SSC70243,0,0,0,0,0,0,0,0
SSC70244,25,0,0,0,0,3,3,34
SSC70245,298,25,6,4,0,0,0,330
SSC70246,0,0,0,0,0,0,0,3
SSC70247,15,0,0,0,0,0,0,20
SSC70248,0,0,0,0,0,0,0,0
SSC70249,0,0,0,0,0,0,0,0
SSC70250,9,0,0,0,0,0,3,14
SSC70251,175,23,10,19,0,3,8,232
SSC70252,21,0,0,0,0,0,0,32
SSC70253,114,4,4,0,0,0,3,126
SSC70254,38,3,0,0,0,0,0,43
SSC70255,51,5,0,0,0,0,0,56
SSC70256,3,0,0,0,0,0,0,9
SSC70257,12,0,0,3,0,0,0,13
SSC70258,111,3,5,0,0,0,0,113
SSC70259,3,0,0,0,0,0,0,3
SSC70260,11,0,0,3,0,0,0,20
