SSC_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SSC70084,36,46,76,143,130,280,12,11,26,35,31,62,188,172,366,43,57,94,24,23,46,28,31,62,97,108,204,3,0,3,4,4,10,3,14,14,14,34,46,0,0,0,24,56,79,10,19,29,9,16,22,7,11,16,20,56,77,0,0,0,46,106,148,3,0,3,9,21,28,0,0,0,11,21,37,117,119,237,516,628,1143
SSC70085,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC70086,13,7,17,57,46,97,0,0,0,8,7,19,64,57,116,29,31,62,0,0,0,29,26,52,59,59,112,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,73,72,143,204,200,399
SSC70087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70088,21,12,38,91,85,184,12,12,26,24,28,56,130,130,258,31,15,53,13,8,22,53,44,97,95,74,170,0,3,8,0,0,3,4,4,10,10,21,30,0,0,0,19,26,47,0,3,7,8,17,24,0,5,4,28,72,96,0,0,0,43,99,138,0,0,0,0,11,16,0,0,0,3,11,17,134,164,295,446,517,956
SSC70089,0,0,0,3,0,5,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,0,0,0,7,7,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,21,15,37
SSC70090,0,0,0,3,3,7,0,0,0,0,0,0,3,3,7,3,3,4,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,44,41,87,51,54,109
SSC70091,7,0,8,30,25,54,0,0,0,0,0,0,31,25,58,9,17,25,0,0,0,3,6,9,14,21,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14,56,61,113
SSC70092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70093,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,3,7,14
SSC70094,0,3,4,9,12,27,0,0,0,0,0,0,9,12,27,3,8,13,5,0,3,0,0,0,13,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10,9,21,37,38,77
SSC70095,0,0,0,14,5,21,0,0,0,0,0,0,14,5,21,3,0,3,0,0,0,3,0,4,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,22,9,33
SSC70096,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,24,19,19,39
SSC70097,13,9,22,71,70,137,4,7,14,32,15,48,107,92,195,53,43,93,0,0,0,23,23,40,79,64,137,4,0,4,0,4,3,6,4,7,11,7,21,0,0,0,20,17,42,7,14,18,10,17,26,0,5,3,20,32,51,0,0,0,38,64,106,0,0,0,7,16,20,0,0,0,7,16,20,133,137,271,396,399,795
SSC70098,8,21,33,53,47,97,28,18,42,19,9,30,98,74,168,13,7,26,15,18,36,16,13,25,46,36,83,0,0,0,0,0,0,3,4,7,5,17,24,0,0,0,9,19,31,3,3,9,6,3,8,3,6,7,12,20,27,0,0,0,21,31,54,0,0,0,4,0,8,0,0,0,4,0,9,70,60,129,260,252,511
SSC70099,3,0,3,12,10,22,0,0,0,0,0,0,12,12,21,0,3,3,0,0,0,7,6,11,9,10,19,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,7,3,13,36,30,66
SSC70100,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,26,15,11,29
SSC70101,0,0,0,4,3,9,0,0,0,0,0,0,4,3,9,0,4,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,19,21,21,37
SSC70102,0,0,0,4,5,10,0,0,0,3,0,3,11,5,9,4,3,6,0,0,0,0,3,4,5,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,17,34,35,27,63
SSC70103,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,18,22,3,18
SSC70104,0,6,6,4,8,14,0,0,0,0,0,0,4,8,14,3,3,7,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,24,18,27,42
SSC70105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,13,4,16
SSC70106,30,29,61,160,133,294,0,0,0,16,14,25,173,148,317,141,112,249,0,0,3,3,12,18,143,126,267,0,0,0,0,3,3,0,0,3,0,4,8,0,0,0,3,11,17,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,6,58,55,113,408,384,790
SSC70107,8,11,24,38,48,87,0,0,0,0,0,0,38,52,91,60,64,124,0,0,0,4,10,8,60,73,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,4,4,0,0,0,0,0,0,0,0,3,0,3,3,191,164,353,298,310,606
SSC70108,3,0,3,0,7,7,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,32,25,14,38
SSC70109,31,30,67,112,118,232,42,35,77,53,49,107,201,207,415,48,49,97,38,34,73,63,51,113,148,140,287,6,3,3,0,0,0,12,7,15,17,36,56,0,0,0,33,43,76,9,17,21,3,17,17,3,8,14,30,77,110,0,0,0,44,119,161,12,5,18,10,17,26,0,0,0,17,20,43,284,285,568,764,846,1618
SSC70110,7,14,23,63,60,119,10,0,9,18,16,36,91,81,168,35,29,65,3,3,4,40,31,68,77,64,140,0,0,4,0,0,0,7,7,9,4,5,11,0,0,0,13,9,24,10,7,15,0,7,9,0,3,7,5,19,20,0,0,0,14,41,56,0,0,0,4,8,9,0,0,0,4,4,14,67,61,131,270,282,552
SSC70111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70112,27,30,56,110,98,212,30,20,44,13,13,31,157,134,288,66,77,137,10,17,30,15,20,32,85,106,193,5,6,6,5,3,9,6,3,12,3,14,14,0,0,0,22,24,48,6,6,12,3,9,14,3,8,12,15,37,51,0,0,0,31,62,91,7,3,7,3,18,21,0,0,0,10,20,30,214,254,470,551,630,1180
SSC70113,0,3,3,9,0,4,0,0,0,0,0,0,7,0,9,7,0,7,0,0,0,0,4,4,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,10,17,18,36
SSC70114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3
SSC70115,18,16,30,46,50,94,0,0,0,0,0,0,46,50,94,34,29,65,0,0,0,3,0,3,35,32,72,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,83,72,158,184,177,363
SSC70116,25,25,51,81,111,193,13,28,40,27,27,57,126,162,287,35,50,87,23,27,49,23,25,48,79,103,182,0,3,4,3,0,0,0,11,11,15,17,31,0,0,0,16,31,49,4,17,19,3,14,12,6,12,11,16,23,39,0,0,0,30,60,92,3,0,3,8,16,23,0,0,0,9,16,22,82,73,158,374,474,849
SSC70117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70118,5,3,10,7,14,22,0,0,0,0,0,0,7,14,22,7,5,17,0,0,0,0,0,0,7,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,23,33,34,67
SSC70119,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,6,9
SSC70120,3,0,4,15,13,24,0,0,0,0,0,0,15,13,24,8,0,10,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,3,13,36,21,55
SSC70121,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,13,41,32,22,52
SSC70122,0,0,0,10,9,21,0,0,0,0,0,0,10,5,22,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,35,34,26,59
SSC70123,13,15,28,74,76,153,17,7,18,17,10,24,103,92,198,40,26,60,7,5,9,10,10,18,50,44,95,0,0,0,0,0,0,3,3,4,0,7,13,0,0,0,11,11,19,0,0,3,0,4,5,0,5,7,7,24,31,0,0,0,10,37,49,0,0,0,0,3,3,0,0,0,0,3,8,109,96,203,295,294,589
SSC70124,9,9,13,30,29,56,0,0,0,0,7,11,28,35,62,14,12,20,0,0,0,4,0,5,19,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,26,60,85,81,115,199
SSC70125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70127,0,3,4,6,5,9,0,0,0,3,3,3,9,11,12,3,0,3,0,0,0,7,3,4,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,9,3,13,0,0,0,0,0,3,0,0,0,0,0,3,950,99,1050,981,115,1099
SSC70128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70129,14,21,31,86,80,173,16,18,33,34,31,69,136,130,268,59,42,93,17,9,28,52,46,99,129,93,224,0,4,4,4,0,0,16,7,17,19,15,38,4,0,3,38,27,65,12,8,23,5,15,13,3,4,9,15,29,38,0,0,0,40,59,94,3,0,3,10,9,18,0,0,0,11,9,22,1252,199,1450,1618,537,2157
SSC70130,0,0,0,11,14,20,0,0,0,0,0,0,9,14,22,3,3,10,0,0,0,0,3,3,5,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,106,672,589,124,713
SSC70131,0,0,0,3,4,4,0,0,0,0,0,0,3,4,4,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,9,7,19
SSC70132,34,22,58,143,120,262,38,30,67,27,28,49,210,181,383,100,69,174,26,15,44,31,32,64,159,127,283,3,3,5,6,3,3,15,7,25,12,24,43,0,0,0,31,40,75,18,9,29,4,15,17,3,3,5,6,44,50,0,0,0,31,80,106,3,3,5,5,20,27,0,0,0,10,24,34,320,268,589,796,727,1525
SSC70133,4,0,4,4,3,12,6,0,6,12,3,15,19,5,32,0,7,7,0,0,4,8,7,11,6,14,21,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,4,3,9,0,0,3,3,3,3,0,5,5,0,5,6,0,0,0,3,10,13,0,0,0,0,0,0,0,0,0,0,0,0,57,35,89,95,68,171
SSC70134,0,0,0,5,8,17,0,0,0,0,0,0,5,8,17,0,3,3,0,0,0,0,3,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27,49,33,42,75
SSC70135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70136,5,13,19,60,43,97,0,0,0,0,0,0,60,40,97,17,16,34,0,0,0,0,0,0,17,17,35,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,3,5,12,0,0,0,0,3,3,0,3,4,8,8,18,0,0,0,14,10,20,0,4,3,3,0,4,0,0,0,7,4,5,103,93,197,202,187,390
SSC70137,8,5,9,25,23,46,0,0,0,0,0,0,25,23,46,17,15,25,0,0,0,0,0,0,17,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,31,58,57,116
SSC70138,13,10,26,82,57,144,4,9,14,8,10,19,96,77,173,28,49,76,5,7,15,7,15,20,47,68,114,0,0,3,0,3,3,3,5,9,4,5,9,0,0,0,10,9,19,13,4,19,11,16,28,0,0,3,22,22,46,0,0,0,38,53,93,0,0,0,3,7,12,0,0,0,3,12,15,70,87,156,283,320,604
SSC70139,26,17,43,59,69,132,21,17,40,14,20,39,99,110,208,21,23,44,12,30,40,5,15,19,43,64,99,0,3,4,3,4,3,4,3,12,10,10,18,0,0,3,17,24,37,11,12,27,3,14,24,3,6,13,10,26,33,0,0,0,31,65,94,3,0,3,9,13,19,0,0,0,12,9,23,82,104,185,303,394,695
SSC70140,3,3,3,14,12,26,0,0,0,3,0,3,12,14,28,8,3,16,0,0,0,0,0,0,11,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,26,22,48,59,47,104
SSC70141,5,3,14,24,18,43,0,0,0,0,0,0,24,18,43,0,3,8,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,7,3,0,0,0,0,0,0,0,0,3,3,3,18,9,34,61,47,103
SSC70142,3,3,6,7,13,23,0,0,0,0,0,0,7,16,20,13,11,20,0,0,0,0,0,0,13,11,22,4,0,3,3,3,6,0,0,0,0,3,5,0,0,0,4,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,34,76,71,71,139
SSC70143,42,50,92,160,167,324,39,40,74,25,23,43,222,225,443,145,133,271,36,27,66,28,43,69,208,200,412,3,8,10,3,4,6,6,9,9,10,17,28,0,0,0,27,35,57,39,37,76,19,30,54,9,7,15,23,58,81,0,0,0,88,133,219,10,10,22,10,24,32,0,0,0,14,39,54,289,313,602,889,995,1883
SSC70144,3,7,17,48,44,86,8,8,11,3,0,3,54,48,102,10,29,41,8,5,8,0,3,3,20,33,54,0,0,0,0,0,0,6,4,6,4,11,16,0,0,0,12,12,25,4,5,7,3,5,4,0,8,8,13,21,31,0,0,0,18,30,50,0,0,3,7,3,6,0,0,0,8,7,15,162,157,320,278,301,573
SSC70145,42,22,62,117,99,220,21,15,40,9,7,22,148,127,280,105,76,186,24,15,38,3,7,11,135,96,231,0,0,0,0,0,4,4,7,10,10,15,29,0,0,0,11,26,39,3,3,10,7,16,16,0,5,6,17,38,51,0,3,3,20,66,86,3,3,6,0,7,10,0,0,0,4,10,9,298,294,595,664,641,1306
SSC70146,16,13,27,31,41,68,8,3,8,0,0,4,36,47,78,32,11,41,4,9,10,0,0,0,35,22,56,0,0,0,0,0,0,4,0,4,4,4,8,0,0,0,5,4,13,0,3,3,0,7,8,0,0,0,4,17,17,0,0,0,12,22,34,3,0,3,6,5,10,0,0,0,3,5,13,211,190,400,311,301,617
SSC70147,0,0,3,4,5,7,0,0,0,0,0,0,3,8,15,0,0,4,0,3,3,3,0,3,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,35,29,36,65
SSC70148,3,5,8,28,29,58,0,0,0,0,0,0,28,29,58,10,12,27,0,0,0,0,0,0,9,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,24,42,56,82,142
SSC70149,0,3,3,3,0,9,3,10,10,6,8,17,15,24,33,9,11,16,3,0,4,3,4,8,11,16,27,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,3,3,3,0,5,5,0,0,3,0,3,5,0,0,0,0,0,0,3,6,9,3,3,9,0,0,0,0,0,0,3,3,10,29,37,65,67,94,160
SSC70150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70151,3,0,5,11,8,28,0,0,0,0,0,0,11,8,28,3,4,6,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,14,26,21,51
SSC70152,7,4,16,57,61,118,0,0,0,0,0,0,57,61,118,11,16,31,0,0,0,0,0,0,19,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,4,3,10,0,0,0,0,0,3,0,0,0,0,0,3,39,43,88,129,134,269
SSC70153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,11,21,15,16,29
SSC70154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70155,0,0,3,7,11,19,0,3,3,0,0,0,7,9,19,11,10,18,4,0,3,3,0,5,15,12,29,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,3,4,9,4,0,4,0,0,0,0,0,0,0,3,3,0,0,0,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,31,30,62,63,63,124
SSC70156,3,0,3,11,6,21,3,0,3,0,0,0,15,11,27,7,3,11,3,3,3,0,0,0,9,5,16,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,7,9,0,0,0,0,3,3,0,0,0,0,3,3,107,92,197,141,123,258
